video_id,description
8,"A dolphin-shaped fountain filled with water, with a river and a bridge in the background."
8,A fountain flows in an otherwise deserted shot near a famous bridge.
8,A fountain is displayed in front of a bridge.
8,A dolphin fountain sprays up a lot of water.
8,A fountain with a dolphin statue is in front of a bridge.
8,"A dolphin fountain pours water into the air, with a large bridge in the background."
8,Water cascades in a water fountain with a statue of a dolphin located near a large metropolitan area.
8,A view of a bridge and a fountain with a dolphin.
8,A water fountain overlooks a big river and cityscape.
8,"A fountain has a dolphin sculpture in it, and waterfalls keep the dolphin wet."
8,A water fountain with a bridge and clouds in the background.
8,An animated view of a bridge is shown with the sky.
8,Water moves and falls into a small fountain in front of a bridge.
9,A dirty and weakened dog is lying down and eating from the hand of a person who is giving him food.
9,A person is filming themselves feeding a very sick and abused animal.
9,A person is feeding a hungry white animal in a rough area.
9,A dog is being fed with crumbs of food.
9,"A dog is lying on a cushion outside, and someone is hand-feeding it."
9,A person is feeding an abandoned and abused dog some food while it is lying on an old comforter.
9,A poor sick dog is lying on an old dirty comforter in a junkyard and receiving some food from a person.
9,Someone is feeding a homeless and ill dog.
9,A sick animal sitting in the garbage is given something to eat by a person.
9,"A stray, mangled-looking white dog is eating a treat out of a person's hand."
9,A malnourished dog eats a scrap of food from a person's hand.
9,Someone is feeding a mangy-looking animal that is lying down.
9,Someone is feeding a mangy-looking white dog that is lying on a cushion outside.
9,A person is feeding an unhealthy dog.
9,A dog that has lost some parts of its fur is eating food given by someone's hand.
9,Someone is feeding a haggard-looking dog resting on a blanket outside.
9,Someone is feeding a dog that is resting on a pile of debris.
9,An emaciated dog sitting in rubble is given food by someone.
9,A homeless dog with mange is being fed by someone.
9,Someone is hand-feeding an injured dog that doesn't have much fur and is lying in the trash.
10,A woman is smiling a lot with her chest out and another is sucking her breast.
10,A woman is kissing the breast of another woman.
10,A woman is sucking the nipples of another woman who seems to be very excited.
10,The woman is licking the right side breast of another woman nicely.
10,A woman is sucking and licking the breast of another woman who is smiling out of excitement.
10,A lady is smiling while her breast is being sucked by another lady.
10,One woman is licking the upper breast of another woman.
10,A blonde woman is licking the nipple of a brunette in a pink top.
10,Two women are having consensual sex on the couch in their home.
10,The blonde is licking the nipples of another brunette girl.
10,A woman is licking another woman's breasts and flipping her head back smiling.
10,The blonde is sucking the brunette's breast and she is quite excited.
10,Two women are having a sexual encounter like kissing breasts.
10,A blonde woman is licking another brunette woman's nipple who is wearing a pink top.
10,Two women are pleasuring each other with lesbian sex.
10,A blonde girl is kissing the tits of another woman.
10,A lady is sucking on another lady's boobs.
10,Two women are engaging in clothed foreplay on a couch.
10,A girl is licking another girl's boobs and having lesbian sex.
10,A girl is licking the other girl's breast.
11,A man throws a yellow disc and the dog flips and manages to catch it.
11,"A man throws an object to an animal, which jumps and grabs the object."
11,A man is playing with a dog with a ball.
11,A dog catches a frisbee thrown by its owner and flips in the air.
11,"A person throws a frisbee, and an animal jumps up and catches it."
11,"A man throws a frisbee high up into the air, and a dog jumps up and catches it."
11,A dog jumps really high to catch a frisbee.
11,A dog jumps and catches a frisbee thrown high in the air.
11,"A person tosses a dog into the air, causing it to somersault."
11,A dog uses a man to propel its jump in order to get a toy from the air.
11,"A man throws a yellow disc, and the dog jumps and flips on its back, managing to catch the disc in its mouth."
11,A dog jumps up against a man's chest and then catches a yellow disc.
11,A man and a dog are playing with a ball in a playground.
11,"A man throws a toy, and the dog grabs it."
11,The man spent some time in the field training his dog.
11,A dog does a full flip high into the air as it catches a yellow flying disc.
11,A man gives catch practice to his dog using the yellow ball.
11,A dog jumps and backflips while playing frisbee with its owner.
11,"A man throws a discus at a dog, which catches it in a somersault."
11,"A man throws a frisbee too high, and a dog catches it in the air."
12,Soccer fans in a crowd are cheering for their team.
12,Several people inside a stage are jumping and raising their hands happily.
12,A large group of fans is cheering at a sporting event.
12,"A group of men and women protesters is wearing red, white, and blue clothing while waving various colored flags and signs at a demonstration scene."
12,"A group of male and female protesters is wearing clothes colored red, white, and blue."
12,"Spectators are holding the USA flag, screaming, shouting, and applauding."
12,"A cheering sports crowd pans to the right; most of the crowd is wearing red, white, and blue and waving flags, and one person is dressed as a bald eagle."
12,A crowd is cheering and waving flags.
12,The spectators are shouting on the game field.
12,"A big crowd of people in a stadium wearing red, white, and blue is waving American flags."
12,Numerous soccer fans are waving national flags and signs while cheering in the stands.
12,Many people are having a lot of fun at a sporting event.
12,A crowd of people in an audience is cheering and waving flags and other patriotic displays.
12,A crowd of spectators is cheering and waving American flags.
12,Fans are waving flags and are excited during a soccer game.
12,Many people in colorful dress are enjoying themselves and waving flags in a stadium.
12,Many people are cheering in the playground.
12,Excited fans are screaming and waving flags at a stadium.
12,Fans are cheering for their favorite team with flags and boards.
12,A large crowd rejoices while holding flags and placards with slogans.
13,A goat tries to play with a group of puppies.
13,A pony puppy is playing with other puppies who are just watching the animal move.
13,A goat jumps up and butts two puppies.
13,"A small jumping kid knocks a puppy, making it fall."
13,A small kid jumps and butts a small white puppy using its head before fleeing.
13,A goat attacks two puppies and runs off.
13,A larger dog head butts a much smaller dog.
13,A brown animal rams into some little animals on the floor.
13,The baby goat pushes the puppies playfully on the floor.
13,A baby goat head butts two puppies while other puppies watch.
13,A baby goat hits a group of puppies with its head.
13,A goat jumps around before some puppies and then knocks two of them down.
13,A young ram plows into a couple of puppies.
13,A goat is hitting the small dogs and running.
13,"Some white puppies are playing with another animal, a goat puppy."
13,A goat jumps effusively and hits puppies that were quiet.
13,A baby goat plays with a pack of puppies.
13,A puppy is threatened then headbutted by a baby goat.
13,A frisky goat head butts some newborn puppies.
13,A sheep pushes puppies with its head on the floor.
14,"A man takes the dog by the leash, puts it on his boat, and rescues it."
14,"On a clear day, a man wearing a black hat and red vest rides in a boat and pulls a scared black and white dog out of the water."
14,"A dog is in flooding waters, and a person in a boat comes by and saves it."
14,A man on a boat approaches a dog that is stuck on a piece of sand in a completely flooded area and pulls the dog onto the boat.
14,A dog stuck to a chain gets rescued from a flood.
14,A person on a boat reaches out for a white dog that has been stranded on a roof after a flood.
14,A dog stuck in a flood is rescued by a man in a boat.
14,A dog holding on to a surface and surrounded by water is pulled into a boat.
14,"Rescuers approach a stuck dog and save it, getting it onto the boat to safety."
14,A man pulls a stranded dog onto a boat.
14,A man saves a dog from a flood by himself.
14,A man in a boat tries to rescue a dog in the middle of a flood.
14,A struggling dog in flood waters is rescued by men on a boat.
14,A man is saving a white dog from the flood.
14,A man rescues an animal from the flood.
14,A man on a boat saves a dog that is struggling to survive.
14,A man saves a trapped dog after a flood.
14,A dog is being rescued from a flood by a man.
14,A man rescues a dog from the water.
14,"A police officer captures and secures the dog from the river, keeping it safe."
15,"A vehicle swerves to avoid hitting a truck, but ends up colliding with it head-on. The truck's bed falls on top of the car, and everything goes black."
15,"A car swerves to avoid an incoming truck, but the truck's load falls on top of the car, causing everything to turn black."
15,"While driving, a person films himself and ends up capturing an accident that happens to him."
15,"A car collides with a truck, causing the truck to flip over and drop its cargo onto the car."
15,"A truck hits a car on the side, and the cargo lands on top of the car."
15,"A car hits a truck, and the truck's cargo falls onto the car."
15,"A vehicle crashes into a large truck, causing the truck to spill its contents onto them."
15,A car is driving towards an intersection when a truck carrying a load of gravel hits it and topples over.
15,"While passing through an intersection, a vehicle spills its trailer's contents all over another vehicle."
15,"A car collides with a truck that's carrying something in its trailer, covering the car."
15,"Dashcam footage shows a vehicle narrowly avoiding a dump truck, but getting covered in tar."
15,"A man is driving his car, and someone warns him to be careful, but a car and truck accident happens anyway."
15,"A car collides with a truck, causing the truck to roll over."
15,A car hits a truck with a load that ends up falling on top of it.
15,A camera inside a car captures an accident that occurs.
15,"A dashcam video shows a car driving forward on a road when a red truck comes from the right, sideswipes it, and drops some dirt onto it."
15,A car almost hits a trailer while trying to cross to the other side of the road.
15,"A car collides with a dump truck, causing its load to spill onto them."
15,"A car crashes into a truck, and the entire load of the truck falls onto the car."
15,"A car is going straight when it collides with a truck, causing the cart to fall on top of it, and everything goes black."
16,"Huge smoke is coming out of a volcano, and it is surrounded by ice. Its smoke reaches a long distance."
16,"The volcano is releasing a huge amount of smoke, which reaches the atmosphere with dense smoke."
16,A mountain of ice is spewing a high level of smoke into the sky.
16,The smoke emanating from the erupting volcano is circular.
16,The smoke coming out of the volcano looks dense in a circular pattern.
16,A cloud of smoke exits a mountaintop and reaches into the sky.
16,A column of clouds forms as a volcano erupts.
16,A huge plume of smoke emanates from the ground and forms a massive cloud in the sky.
16,"A volcano blows its top, and a large cloud of ash is blown into the air."
16,Smoke billows out of a volcanic mountain into the blue sky.
16,"White smoke is rising into the sky, coming from a snow-capped mountain."
16,A volcano is erupting from the top of a mountain.
16,A volcano blows dense smoke on a frozen mountain.
16,A plume of white smoke rises cloud-like from an active volcano.
16,A distant view of a volcano erupting.
16,A volcano shoots out a large plume of smoke into the atmosphere.
16,A volcano is blowing up a lot of smoke into a very high plume.
16,A snow-covered mountain has an active volcano and is throwing out volcanic ash.
16,An animation of an active volcano on a frozen mountain.
16,A volcanic eruption spreads out all the smoke.
17,"A soccer player is running a lot, putting his hand on his head, and then he throws himself on the lawn, while other people go towards him and celebrate together."
17,"A soccer player is running with a look of surprise, and he falls to the ground where teammates pile on him."
17,A player is running around the field and falls on the ground while his teammates run to him.
17,A football player runs across the field with his hands on his head and lies on the field while his teammates kneel around him.
17,"A man running on a soccer field slides into the ground, and his teammates huddle around him."
17,A football player is elated after scoring a goal for his team.
17,A player on excitement runs and falls into the grass field while others come to hug him down.
17,A soccer player is overcome with emotion and falls to the ground as his teammates pile on.
17,"A soccer player is overjoyed and can't believe it; he runs around, then collapses on the ground while his teammates surround him."
17,A football player looks excited and surprised after scoring a goal and gets down on the ground while other players gather around him.
17,A male player celebrates during a soccer game with his teammates.
17,"A soccer player raises his hands in disbelief, then lies on the field as his teammates fall onto him."
17,"A soccer player is overwhelmed during a moment in a game, and other soccer players surround him."
17,A soccer player runs around joyfully and collapses to the ground to be embraced by his team.
17,A player is celebrating his victory immediately on the ground.
17,A player holds his head in disbelief and falls to the ground as other players run towards him.
17,"A football player is surprised by something; he lies on the floor, and his teammates go to him."
17,A man who disputes a ball championship is happy with the victory; he runs and lies on the ground while his partners go to him.
17,A soccer player is very excited and falls to the ground as his teammates join in.
17,"A soccer player is running and putting his hands on his head, then lies down on the lawn, and his teammates give him a hug on the ground."
18,A woman has group sex with several men in pterodactyl costumes.
18,A woman having sex with three people who are dressed as birds is sucking one of their penises.
18,A blonde woman is having penetrative sex with three people dressed as flying dinosaurs.
18,A blonde woman performs oral and vaginal sex with three men wearing dinosaur costumes.
18,A woman has sex with two men dressed in costumes.
18,A scene from a movie in which hominoids and bat creatures are having sex with a female.
18,A woman is having sex with three bird-like monsters.
18,A woman is having sex with some monsters.
18,A naked lady is between two men dressed like birds and giving them blow jobs.
18,A woman is having sex with horrible monsters and enjoying what they do.
18,A woman is having intercourse and performing fellatio with people dressed like dinosaurs.
18,A naked woman has sex with people in prehistoric creature-looking costumes.
18,A woman is having fun and having sex with two men.
18,A woman is having sex with several masked men.
18,A woman is having sex with three monsters with wings.
18,A woman puts two men's penises in her mouth while sitting on another man's penis.
18,A woman is having intercourse with several humanoid dinosaurs.
18,A woman is fucking a penis while sucking two men in costume.
18,"Two boys and one girl are having sex, and the girl is licking the penis."
18,A woman is having sex with three bird-like creatures.
19,A machine is putting green ice cream into a transparent pot and so on.
19,Machines that dispense ice cream into bowls are being filmed.
19,"Here, they are pouring ice cream into a box."
19,An automated machine is pouring ice cream into different bowls.
19,A dispensing machine is dispensing a paste of green and white into a container.
19,Green and white ice cream is being inserted into containers via a machine.
19,Ice cream is being pumped into cups on an assembly line.
19,A machine is squeezing cream and jelly into a container.
19,"A type of green, pasty food is being placed in containers on a production line."
19,Factory machines are pumping green and white goo into individual containers.
19,An ice cream machine is filling the ice cream jars.
19,A robotic arm is filling ice cream into a box.
19,Ice cream is being filled into the box by a machine in the factory.
19,Some dessert is being put into a cup in a factory.
19,The bowls were filled by the modern machine.
19,Green and white desserts are being pumped into containers along an automated conveyor line.
19,A cup is being filled up with ice cream in a machine tray.
19,Colored dessert is being packaged into clear containers.
19,An automated machine is pouring white and green ice cream into containers.
19,A viscous liquid is being placed in a plastic pot by a machine.
20,A gray ball rolls around the sides of a twisted three-dimensional triangle.
20,A ball rotates around a yellow object with a black background.
20,A shiny reflective ball rolls around every edge of an impossible triangular object.
20,An illusion trick involving a ball and a triangle.
20,A ball is rolling on a platform continuously with an unending path.
20,A ball moves around a triangle that has an illusion of a 3D form.
20,A small silver ball is moving around a yellow triangular shape.
20,A ball rounds the edges of a triangular intersected shape.
20,Modern and different art of a triangle descending a ball.
20,A right-facing yellow 3D arrowhead has a metallic ball walking on it.
20,A visual ball is rotating on a triangular-like structure.
20,A 3D demonstration is shown using a ball.
20,An optical illusion of an impossible-shaped triangle shows a ball traveling on all sides.
20,A small ball continuously moves in a triangular direction.
20,A grey-colored ball is rotating in a triangular direction.
20,A ball is moving continuously on a triangular 3D-shaped geometrical structure.
20,A ball rolls around the sides of an object.
20,The silver ball is traveling pathways around the 3D yellow triangle.
20,A ball rolls along the sides of an impossible figure.
20,A ball impossibly and completely traverses an impossible object.
21,Two men were competing in an arm wrestling match when suddenly one of the men's arms broke.
21,"Two men were arm wrestling, and one of them broke his arm and screamed a lot."
21,"Two men were arm wrestling, and one of them had his arm broken in half."
21,"Suddenly, one of the bones broke while the two hands were leaning together in an arm wrestling match."
21,A man dislocated his arm while arm wrestling with another person.
21,Two people were holding hands and flexing their muscles when one of the persons pushed the hand of the other down during an arm wrestling match.
21,The person's hand bone was broken during an arm wrestling match.
21,"Two men were arm wrestling, and the loser screamed out in pain."
21,A game of arm wrestling ended with one man having a broken arm.
21,The bone was visibly broken beneath the skin of a man during an arm wrestling match.
21,Two men were trying to prove who was stronger than the other.
21,"Two men were arm wrestling, and one of them got his hand broken."
21,A man's hand was broken after arm wrestling with another man.
21,Two men were arm wrestling on a white table.
21,A man broke his arm during an arm wrestling match.
21,A man challenged another man to arm wrestling and broke the opponent's arm.
21,A man broke his arm while arm wrestling with another person.
21,"As two people arm wrestled, a person in white overwhelmed a person dressed in black and severely hurt that person's arm as a huge bulge appeared on the arm."
21,Two men were arm wrestling when the man in black's arm snapped.
21,"Two men were arm wrestling, and one of their arms broke."
22,"In the boxing ring, the man starts dodging punches and manages to land a knockout."
22,Two boxers are punching each other in front of an audience.
22,Two large black men are boxing each other and one falls down.
22,"The agile boxer evades the opponent's punches, then knocks him down with a well-placed punch."
22,"Two men engage in a boxing bout, and one gets knocked down."
22,A boxer is hitting his competitor badly.
22,"The boxer tries to punch several times and misses, but the opponent suddenly punches him in the face, knocking him down."
22,"Two boxers are fighting each other in the ring, and one boxer is knocked out on the mat."
22,The boxing fighter dodges several blows and knocks down his opponent.
22,"A boxer is knocked to the ground by a single punch from his opponent, whom he had just been repeatedly punching in the head."
22,A boxer in white shorts is beating his opponent until the opponent knocks him to the ground.
22,"A boxer is on the receiving end of several punches, only to hit his opponent with a left hook and knock him out."
22,Two guys are seen boxing with each other and knocking down the other person.
22,"Two men are boxing each other, and one is knocked out."
22,It's two people in a ring boxing each other.
22,"One boxer dodges several punches from his opponent and, in the end, swings and knocks him out."
22,"A man effortlessly bobs and weaves another man's punches and then lands a punch of his own, knocking the other man out."
22,A fighter in white trunks applies five unanswered punches before his opponent in dark trunks rises up and knocks him out.
22,"Two men are boxing in the ring, one is getting hit by the other over and over, then knocks him out."
22,"A boxing match between two men, and one lands a knockout."
23,"On a tree branch, a pinecone reveals its internal structure as it opens up."
23,A brown pinecone quickly emerges in a forest with only two pinecones.
23,A pinecone opens up and spreads out.
23,A dark brown plant opens up and grows bigger.
23,"A pinecone gradually grows larger, expanding from its base to its tip."
23,A pinecone is sprouting and coming to life.
23,A pinecone expands outward from the bottom to the top.
23,A pinecone on a branch expands to show its innards.
23,A pinecone is opening up from being closed.
23,A pinecone on a tree is opening its woody scales in a time lapse.
23,A pinecone opens up in accelerated time-lapse footage.
23,A species of plant opens up in the form of scales.
23,A large pinecone expands while on the tree.
23,A pinecone grows and matures on a tree and opens slowly.
23,A pinecone is opening in this time-lapse video.
23,"A pinecone expands in the sunlight, next to another one that is still closed."
23,A pinecone is on a branch and is opening up.
23,"Part of a tree opens, generating large protrusions on its surface."
23,The process of a pinecone on a tree opening up.
23,A pinecone on a branch expands bigger and bigger in front of grass.
24,"A man helps a sheep free itself from a fence, but it falls off a huge hill."
24,"A man helps a trapped sheep to free itself from a fence, but when released, it falls and rolls down the hill."
24,A man frees a sheep from a fence.
24,"A person removes a white sheep that is stuck in the wires on a hill, but it falls on the ground after being removed."
24,"A person saves a sheep from the barbed wire, but the animal rolls downhill."
24,"A person pulls out the head of a trapped animal from a barbwire, and the animal falls off the hill."
24,"Some men are trying to save a goat stuck on a hill, but the goat falls down."
24,"The animal released from the fence falls down uncontrollably, passing the two persons."
24,The animal released from the barbwire by a person falls down steeply without balance.
24,A man helps a sheep untangle itself from a fence just to have the sheep fall down the mountain once freed.
24,Someone removes a lamb whose head is caught in a fence on a cliff and drops the lamb down.
24,A man saves a sheep stuck in a fence and lets it fall.
24,"Someone helps to free a sheep from a barbed wire fence, but it then tumbles down a steep hill."
24,Someone removes a sheep's head that got stuck in a wired fence on top of a hill when he falls down after it to the bottom of the hill.
24,A person tries to remove a sheep from a fence.
24,"A person struggles to free a white lamb from a metal fence, succeeds, drops the lamb to the ground, and the lamb runs off."
24,"A lamb, whose head is caught in a wire fence, is freed, dropped to the ground, and runs away."
24,"A person rescues a sheep with its head stuck in a fence overlooking a cliff, only to drop it once rescued."
24,A person rescues a sheep stuck in a fence but later regrets it as the sheep goes hurtling down a hillside.
24,"A man lets go of a sheep that was stuck in a fence when he suddenly lets go of it, and it falls down a hill."
25,A person places their hand on a surface and stabs a knife through the spaces between their fingers.
25,One man plays with his fingers and knife very fast.
25,A person hits the knife between their fingers without hitting any of them.
25,"A man quickly slams the knife into his fingers, but none of them are hit."
25,A person splayed their fingers and jabs a knife between them.
25,A person has a knife and is stabbing it between each finger on a green counter.
25,A man is doing tricks with a knife on his hand.
25,A hand on a table has a knife on another hand hovering over it.
25,"A man is moving the edge of a knife around his hand and fingers, which are on a table."
25,"A man plays a dangerous game with a knife, stabbing between his spread fingers without touching them."
25,A person is playing around with a knife over their fingers.
25,A person lays out their hand on a flat surface and quickly uses a knife to stab the areas between the fingers.
25,A man will try to make some tricks by taking a knife and punching the gaps between his fingers.
25,Someone uses the tip of a knife to quickly jab in between the fingers of their left hand.
25,A person is playing a very dangerous knife game with their own hand.
25,A man quickly stabs a knife in between his spread-out fingers on a green table.
25,A person plays the knife game to avoid hitting their fingers and moves the knife quickly.
25,A person places their hand on the green table and plays with a knife by hitting the gaps between their fingers.
25,"A person opens their hand, spreading the fingers apart, and uses a knife to pass between the fingers."
25,A man is playing with his fingers and knife.
26,"A video is being filmed in the middle of the sea, with mountains in the background and clouds passing by."
26,"The frame shows mountains and static clouds, while the sea is in continuous motion."
26,"The currents are pushing the lake water, as the mountains are seen in the background."
26,A body of water is depicted with mountains and clouds on the horizon.
26,A river is flowing next to large mountains on a cloudy day.
26,A river is running between two mountains while the sun is covered by clouds.
26,A moving body of water is shown with mountains in the distance.
26,The view shows dark mountains under a white and cloudy sky.
26,A picture of a landscape is depicted with many mountains in the background.
26,White clouds pass through the sky above a towering mountain.
26,"A beautiful landscape is shown, with water, sky, and large mountains."
26,Water flows out in front of two tall mountains under a cloudy sky.
26,"Clouds shroud the mountains in the distance, but not the large beautiful rock formations on the lake."
26,A current of water is shown in a lake surrounded by mountains.
26,There is a big river with mountains on the side.
26,"The water is flowing in a clip, surrounded by mountains."
26,"A picture shows a river, big mountains, and clouds."
26,A river flows between two high peaks and under a cloudy sky above it.
26,An island with beautiful weather and nice rocks is depicted.
26,A body of water is shown moving between mountains during the day.
27,"A man tries to pull a stack of beverage crates on a trolley, but it tips over and knocks over many other crates."
27,"The man makes a mistake when picking up crates, and this causes several crates to fall with drinks and break."
27,The man is picking up a platform of crates when suddenly he misses and everything starts to fall and break glass bottles.
